Applications,CEF IMPELLERS,CEF IMPELLERS NBR Version,CEF KITs CODES,Remarks,Manufacturer,Tipologia Applicazione,Applications_note,Tipologia
"11260-2211","500100GX","500200GX",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"11410-200","500107GT","500207GT",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"11430-01","500100GX","500200GX",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"11470-200","500116GX","500216GX","RK0006",,"JABSCO","INBOARD ENGINES",,"PUMP"
"11570-200","500116GX","500216GX",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"11590-204","500107GT","500207GT",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"11600","500114T","500214T",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"11620-200","500100GX","500200GX",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"11620-211","500100GX","500200GX",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"11650-200","500100GX","500200GX",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"11740-200","500114T","500214T",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"11740-205","500114T","500214T",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"11790","500105GT","500205GT",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"11790-1","500105GT","500205GT",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"11850-0101","500107GT","500207GT",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"11850-0701","500107GT","500207GT",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"11850-0711","500107GT","500207GT",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"11860-0001","500114T","500214T",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"11860-0006","500114T","500214T",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"11860-0007","500114T","500214T",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"11870-0005","500135T","500235T",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"11870-0006","500205GT",,,,"JABSCO","INBOARD ENGINES",,"PUMP"
"11870-0007","500135T","500235T",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"12280-0001","500114T","500214T",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"12580-0001","500138","500210",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"12590-0001","500138","500238",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"12590-0011","500110","500210",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"14210-0001","500107GT","500207GT",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"14620","500102T",,,,"JABSCO","INBOARD ENGINES",,"PUMP"
"14940-0001","500130",,,,"JABSCO","INBOARD ENGINES",,"PUMP"
"1673-0001","500107GT",,,,"JABSCO","INBOARD ENGINES",,"PUMP"
"1673-1001","500107GT",,,,"JABSCO","INBOARD ENGINES",,"PUMP"
"1673-9001","500107GT",,,,"JABSCO","INBOARD ENGINES",,"PUMP"
"1673-9051","500107GT","500207GT",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"17100 SERIES","500114T","500214T",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"17100-0001","500114T","500214T","RK0004",,"JABSCO","INBOARD ENGINES",,"PUMP"
"17100-0005","500114T","500214T","RK0004",,"JABSCO","INBOARD ENGINES",,"PUMP"
"17100-0011","500114T","500214T","RK0004",,"JABSCO","INBOARD ENGINES",,"PUMP"
"17120-0001","500100GX","500200GX",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"17350-0011","500177GT",,"RK0009",,"JABSCO","INBOARD ENGINES",,"PUMP"
"17410-0001","500107GT","500207GT","RK0005",,"JABSCO","INBOARD ENGINES",,"PUMP"
"18200-0001","500152",,,,"JABSCO","INBOARD ENGINES",,"PUMP"
"18300-0000","500145GT",,,,"JABSCO","INBOARD ENGINES",,"PUMP"
"18320-0000","500145GT",,,,"JABSCO","INBOARD ENGINES",,"PUMP"
"18320-0001","500145GT",,,,"JABSCO","INBOARD ENGINES",,"PUMP"
"18320-0002","500145GT",,,,"JABSCO","INBOARD ENGINES",,"PUMP"
"18340-0000","500145GT",,,,"JABSCO","INBOARD ENGINES",,"PUMP"
"18370-0000","500145GT",,,,"JABSCO","INBOARD ENGINES",,"PUMP"
"18590-0000","500210","500210",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"18770-0003","500144",,,,"JABSCO","INBOARD ENGINES",,"PUMP"
"18770-0004","500144",,,,"JABSCO","INBOARD ENGINES",,"PUMP"
"18770-0005","500144",,,,"JABSCO","INBOARD ENGINES",,"PUMP"
"18780-0001","500153",,,,"JABSCO","INBOARD ENGINES",,"PUMP"
"18780-0003","500153",,,,"JABSCO","INBOARD ENGINES",,"PUMP"
"18780-0013","500153",,,,"JABSCO","INBOARD ENGINES",,"PUMP"
"18790-0001","500153",,,,"JABSCO","INBOARD ENGINES",,"PUMP"
"18830 SERIES","500107GT","500207GT",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"18840 SERIES","500107GT","500207GT",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"21080-200","500107GT","500207GT",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"21080-204","500107GT","500207GT",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"21090-200","500107GT","500207GT",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"21090-204","500105GT","500205GT",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"21100","500114T","500214T",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"21130-200","500100GX","500200GX",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"21130-2101","500100GX","500200GX",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"21140-200","500114T","500214T",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"21140-201","500114T","500214T",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"21140-204","500114T","500214T",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"21140-2101","500114T","500214T",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"21140-2141","500114T","500214T",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"21140-2201","500114T","500214T",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"21140-2241","500114T","500214T",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"21140-2401","500114T","500214T",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"21140-2441","500114T","500214T",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"21140-2601","500114T","500214T",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"21140-2641","500114T","500214T",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"21140-2701","500114T","500214T",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"21180","500105GT","500205GT",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"21180-05","500105GT","500205GT",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"21580-200","500114T","500214T","RK0004",,"JABSCO","INBOARD ENGINES",,"PUMP"
"21680-05","500135T","500235T",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"21690","500107GT","500207GT",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"21690-05","500107GT","500207GT",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"21690-200","500107GT","500207GT",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"21780","500105GT","500205GT",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"21810","500177GT",,"RK0009",,"JABSCO","INBOARD ENGINES",,"PUMP"
"21810-01","500105GT","500205GT",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"21820-200","500107GT","500207GT",,,"JABSCO","INBOARD ENGINES",,"PUMP"
